Pair_ID,Role,Expected_Match,Baseline_Score,GraphRAG_Score,Improvement,Baseline_Correct,GraphRAG_Correct,Implicit_Skills_Count,Skill_Gaps_Count,Implicit_Skills,Skill_Gaps
1,Junior Software Engineer,True,0.7002,0.82,0.1198,True,True,0,2,,"C#, OOP"
2,Frontend React Developer,True,0.8435,0.33,-0.5135,True,False,0,8,,"ES6, React, Redux, Zustand, TypeScript, RESTful API, Webpack, Babel"
3,Backend Python Developer,True,0.6765,0.6,-0.0765,True,True,0,4,,"FastAPI, MongoDB, RESTful API, AWS"
4,Full Stack Developer,True,0.6154,0.69,0.0746,True,True,1,4,sql,"HTML5, CSS3, MongoDB, RESTful API"
5,Data Scientist,True,0.6781,0.36,-0.3181,True,False,0,9,,"R, TensorFlow, PyTorch, Tableau, Power BI, statistical modeling, hypothesis testing, experimental design, machine learning"
6,Data Analyst,True,0.842,0.71,-0.132,True,True,0,2,,"Tableau, R"
7,Machine Learning Engineer,True,0.6065,0.4,-0.2065,True,False,0,9,,"TensorFlow, PyTorch, AWS, Azure, GCP, PostgreSQL, MySQL, Docker, Kubernetes"
8,DevOps Engineer,True,0.8158,0.3,-0.5158,True,False,0,16,,"RDS, Lambda, VPC, ECS, EKS, GitLab CI/CD, Azure DevOps, Kubernetes, Terraform, CloudFormation, Ansible, Bash, PowerShell, Prometheus, Grafana, ELK Stack"
9,AWS Cloud Architect,True,0.8169,0.56,-0.2569,True,True,0,7,,"CloudWatch, CloudFormation, Route 53, SQS, SNS, Kubernetes, EKS"
10,QA Automation Engineer,True,0.8356,0.31,-0.5256,True,False,0,9,,"Python, C#, JavaScript, Playwright, Cypress, Postman, JMeter, Jenkins, GitLab CI"
11,iOS Developer,True,0.8564,0.6,-0.2564,True,True,0,4,,"Core Animation, RESTful APIs, Unit Testing, UI Testing"
12,Android Developer,True,0.8754,0.5,-0.3754,True,False,0,5,,"MVVM, MVI, MVP, RESTful APIs, Room database"
13,UI/UX Designer,True,0.7109,0.36,-0.3509,True,False,0,7,,"Sketch, user-centred design principles, usability heuristics, accessibility standards, responsive design methodologies, design systems, mobile-first approaches"
14,Cybersecurity Analyst,True,0.7561,0.13,-0.6261,True,False,0,13,,"Splunk, ELK Stack, Nessus, OpenVAS, Qualys, Firewalls, FortiGate, IDS/IPS, EDR solutions, Python, PowerShell, AWS, Azure"
15,Database Administrator,True,0.8221,0.5,-0.3221,True,False,0,4,,"SQL Server, Oracle, T-SQL, PL/SQL"
16,Node.js Developer,True,0.7657,0.5,-0.2657,True,False,0,6,,"TypeScript, NestJS, RESTful API, PostgreSQL, Jest, Mocha"
17,Java Spring Boot Developer,True,0.7728,0.5,-0.2728,True,False,0,6,,"Spring MVC, RESTful API, PostgreSQL, Gradle, JUnit, Mockito"
